SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
ELISA measuring epitope specific vascular endothelial growth factor production by T cells	VEGF release|ELISA	An assay of epitope specific vascular endothelial growth factor production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific vascular endothelial growth factor production by T cells	enzyme-linked immunosorbent assay									IEDB	IEDB
cell lysate MHC binding assay measuring binding of a MHC:ligand complex	qualitative binding|lysate MHC	A MHC binding qualitative binding to ligand assay using MHC in a cell lysate.	equivalent to	assay measuring qualitiative binding of a MHC:ligand complex				cell lysate						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
purified MHC direct binding assay measuring binding of a MHC:ligand complex using phage display	qualitative binding|purified MHC/direct/phage display	A purified MHC binding assay that uses a phage display binding assay to measure direct ligand binding.	subclass of	purified MHC binding assay measuring binding of a MHC:ligand complex	phage display binding assay			purified MHC molecule preparation						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-7 production by T cells	IL-7 release|cytometric bead array	An assay of epitope specific interleukin-7 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-7 production by T cells	cytometric bead array assay									IEDB	IEDB
purified MHC direct binding assay measuring half life of a MHC:ligand complex using radioactivity detection	half life|purified MHC/direct/radioactivity|min	A purified MHC ligand half life of binding determination assay that uses radioactivity detection to measure direct ligand binding.	equivalent to	assay measuring the half life of a MHC:ligand complex	radioactivity detection			purified MHC molecule preparation					minute	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-7 production by T cells	IL-7 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-7 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-7 production					IEDB	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-17A production by T cells	IL-17A release|ICS	A T cell epitope specific interleukin-17A production assay that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17A production by T cells	flow cytometry assay									IEDB	IEDB
purified MHC direct binding assay measuring binding of a MHC:ligand complex using fluorescence detection	qualitative binding|purified MHC/direct/fluorescence	A purified MHC binding assay that uses fluorescence detection to measure direct ligand binding.	subclass of	purified MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
purified MHC direct binding assay measuring half maximal effective concentration [EC50] of a MHC:ligand complex using fluorescence detection	half maximal effective concentration (EC50)|purified MHC/direct/fluorescence|nM	A purified MHC ligand binding half maximal effective concentration (EC50) determination assay that uses fluorescence detection to measure direct ligand binding.	equivalent to	assay measuring the half maximal effective concentration [EC50] of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation					nanomolar	IEDB	IEDB
cell bound MHC competitive binding assay of a MHC:ligand complex using fluorescence detection	qualitative binding|cellular MHC/competitive/fluorescence	A cell bound MHC binding assay that uses fluorescence to detect loss of binding of a known reference ligand due to competition by the ligand under investigation	subclass of	cell bound MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
X-ray crystallography assay determining the 3D structure of a MHC:ligand complex	3D structure|x-ray crystallography|angstroms	A MHC binding 3D structure determination of MHC molecule:epitope complex assay that uses an X-ray crystallography assay.	equivalent to	3D structure determining assay of a MHC:ligand complex	X-ray crystallography assay			purified MHC molecule preparation				3D structural organization datum	angstrom	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using T cell epitope recognition	half maximal inhibitory concentration (IC50)|cellular MHC/T cell inhibition|nM	A cell bound MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses a T cell epitope recognition assay to measure ligand binding.	equivalent to	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	assay measuring binding of a T cell epitope:MHC:TCR complex	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell					nanomolar	IEDB	IEDB
cell bound MHC competitive binding assay of a MHC:ligand complex using radioactivity detection	qualitative binding|cellular MHC/competitive/radioactivity	A cell bound MHC binding assay that uses radioactivity detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	subclass of	cell bound MHC binding assay measuring binding of a MHC:ligand complex	radioactivity detection	('material entity' and 'has role' some 'competitive binding reference ligand role')		cell						IEDB	IEDB
biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	G-CSF release|biological activity	A T cell epitope specific cytokine production assay that detects granulocyte colony stimulating factor production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					granulocyte colony-stimulating factor production					IEDB	IEDB
cytometric bead array assay measuring epitope specific intracellular cytokine staining (ICS) IL-21 production by T cells	IL-21 release|cytometric bead array	An assay of epitope specific interleukin-21 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-21 production by T cells	cytometric bead array assay									IEDB	IEDB
cell bound MHC direct binding assay of a MHC:ligand complex using radioactivity detection	qualitative binding|cellular MHC/direct/radioactivity	A cell bound MHC binding assay that uses radioactivity detection to detect direct binding.	subclass of	cell bound MHC binding assay measuring binding of a MHC:ligand complex	radioactivity detection			cell						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
purified MHC direct binding assay measuring 50% dissociation of binding temperature [Tm] of a MHC:ligand complex using fluorescence detection	50% dissociation temperature|purified MHC/direct/fluorescence|°C	A purified MHC binding assay that uses fluorescence detection to measure the 50% dissociation of binding temperature of direct ligand binding.	subclass of	purified MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay			purified MHC molecule preparation				50% dissociation of binding temperature (Tm)	degree Celsius	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cell bound MHC direct binding assay of a MHC:ligand complex using fluorescence detection	qualitative binding|cellular MHC/direct/fluorescence	A cell bound MHC binding assay that uses fluorescence detection to detect direct binding.	subclass of	cell bound MHC binding assay measuring binding of a MHC:ligand complex	fluorescence detection assay			cell						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
